imya	number	another
Negidalt	104	44
Loma	82	66
Bassa	92	74
Cochimí	62	94
Turkic, nec	102	52
Itelmen	110	54
Ulwa	74	92
Galpu	93	72
Djapu	87	84
Gumbaynggir	82	99
Mann	108	68
Bhojpuri	86	90
Gudanji	72	103
Mudburra	76	97
Tofalar	84	102
Gamilaraay	101	100
Acehnese	78	117
Udihe	120	86
Kagate	98	110
Dravidian	93	114
Anmatyerr, nfd	100	96
Djinang, nfd	100	116
Banyjima	100	115
Talaingod	103	121
Bandjalang	105	121
Gumatj	109	125
Dravidian, nec	126	108
Ixil	133	104
Kaytetye	111	138
Iwaidja	111	133
Ingrian	168	78
Sadhani	143	103
Nganasan	162	88
Garrwa	125	134
Dhuwala, nfd	120	130
Godoberi	134	122
Kukatja	123	126
Basque	137	136
Luo	157	112
Kikuyu	166	106
Gooniyandi	127	148
